Timestamp;In which age group are you in?;What is your gender?;What is the highest educational diploma you have obtained?;Level of education. Numeric;In which discipline is your academic background?;How many languages do you speak fluently?;Where do you currently reside?;COP 26 is organised to prevent the Earth’s average temperature from rising by no more than how many degrees Celsius?;COP 26.Numeric;Do you think that climate change is caused by human activities?;Which of the following is a greenhouse gas?;Did you notice changes in temperatures during this year in comparison to few last years (warmer summers, colder winters, etc.) ?;Did you notice changes in temperatures. Numeric;The majority of scientists agree that climate change is real;The majority of scientists agree .Numeric;Climate change is bound to happen because of the global economic activity;global economic activity. Numeric;Climate change is a natural phenomenon;Recent global disasters ( floods, fires, droughts) are more prevalent because of climate change;Recent global disasters. Numeric;Climate change is mostly because of the pollution from industries;pollution from industries. Numeric;Total eco awareness score. Numeric;What can an individual do to reduce the process of climate change?;What can society as a group do to reduce the process of climate change?;;;;;baseline;;;temp baseline;;;;Hypothesis 1 = Climate change is bound to happen because of the global economic activity vs Level of education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 17:28;18-20 years;Female;High School Diploma;1;Natural sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane, Water Vapor;Yes;1;Yes;1;7;1;5;7;1;5;1;1,1625;So many things!!! Taking the issue seriously would be a great start. Too many people kow about it, are sensible towards the issue yet don't act in consequence. It is everyone's responsibilty to reduce their consumption (especially superficial fast fashion and items that they don't actually need), and consider where the product will go when they are not going to use it anymore. This goes for everything, clothes, food packaging, furniture... Selling or giving what they don't use anymore is also essential. I also believe that we have to get out of a consumerist ideology and cherish human moments over material gifts.;Organizing more events around the issue. Making it the heart of governmental concerns. Making it a proper subject in schools. Banning and boycotting polluting compagnies. Buying in an ethical manner, if ethical brands might still be quite expensive, thrifting is for a bargain :);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 17:32;21-25 years;Prefer not to say;Master's Diploma;3;Social sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;4;7;1;7;1;1,2;Think and act;Transform;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 17:46;21-25 years;Non-Binary;Bachelor's Diploma;2;Natural sciences;2;France;2,5;0,75;Yes;All of them;Yes;1;Yes;1;7;1;4;7;1;7;1;1,1625;There are small changes you can do at the individual level, but mostly reducing climate change will come from change in policy.;Change policy and the economy structure.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 17:53;21-25 years;Female;Master's Diploma;3;Social sciences;4;Poland;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;3;7;1;7;1;1,2;"protest big corporations' exploitation of the planet for profit; vote for candidates who introduce green policies; reduce meat consumption";"protest; vote; reduce meat consumption";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 18:21;21-25 years;Female;Master's Diploma;3;Humanities;1;Ukraine;2,5;0,75;Yes;Carbon Dioxide, Methane, I am not sure;Yes;1;Yes;1;7;1;5;5;1;5;1;1,1625;pray;pray of course;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 18:43;18-20 years;Female;High School Diploma;1;Social sciences;6;Austria;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;3;6;1;4;0,5;0,95;Conscious consumption;Hard to answer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 18:57;21-25 years;Female;Bachelor's Diploma;2;Art education and Fine Arts;3;Ukraine;I am not sure;0;Yes;I am not sure;No;0;Yes;1;7;1;7;5;1;6;1;0,9;to demand the factories and corporations to be more sustainable: petitions, protests;the same as above;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 19:00;21-25 years;Female;Bachelor's Diploma;2;Applied sciences;5;Austria;I am not sure;0;Yes;Methane;Yes;1;Yes;1;7;1;3;6;1;6;1;1,05;Try to consume less goods, especially those that influence the methane production. E.g. palm oil, meat etc.;Popularise nature-friendly economy among the big enterprises, create some rules and laws to control it;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 19:06;21-25 years;Female;Bachelor's Diploma;2;Humanities;3;Ukraine;I am not sure;0;Yes;All of them;No;0;Yes;1;7;1;4;7;1;5;1;0,9;use public transport, but eco-friendly goods, go vegan;Research and implement the alternative sources od energy, high taxes for non-eco-friendly businesses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 19:06;Over 30 years;Female;PhD Diploma;4;Humanities;4;United Kingdom;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;6;6;1;6;1;1,05;consume less, reuse more;Develop and invest in greener technologies, prohibit unrepairable gadgets, reduce red meat consumption etc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 20:23;21-25 years;Female;Bachelor's Diploma;2;Applied sciences;2;Ukraine;1,5;1;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;4;5;1;5;1;1,2;Use green transport, sort waste, become a vegetarian and zerowaster, also he can spread the information to other people;Buy organic food, make petitions about green solutions in the cities, initiate conferences and share experiences;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 20:34;18-20 years;Female;Bachelor's Diploma;2;Applied sciences;2;Ukraine;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;5;6;1;6;1;1,2;consume less;teach how to prevent warming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 20:48;26-30 years;Female;Bachelor's Diploma;2;Humanities;3;France;1,5;1;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;1;7;1;6;1;1,05;minimalist living & zero waste;be critical consumers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 20:51;26-30 years;Female;Master's Diploma;3;Social sciences;2;Ukraine;1,5;1;I am not sure;I am not sure;No;0;Yes;1;7;1;5;6;1;7;1;1,05;Reuse and sorting out, don’t bought a mass market goods and other stuff;Create a clear rules;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 20:56;18-20 years;Female;High School Diploma;1;Applied sciences;2;Ukraine;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;4;6;1;5;1;1,05;Consume responsible earth’s resources(don’t eat meat, reuse things, don’t waste anything);Stop polluting our planet and choose properly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 20:57;21-25 years;Male;Master's Diploma;3;Applied sciences;3;Ukraine;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;2;6;1;5;1;1,2;Minimize their waste and energy consumption;Elect climate change conscious politicians;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 21:29;21-25 years;Male;Master's Diploma;3;Social sciences;3;Ukraine;I am not sure;0;I am not sure;I am not sure;No;0;No;0;7;1;1;1;0;1;0;0,1;Climacool hudshaya lineyka adidas;You can by Patagonia it’s climate control on your car;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 22:04;18-20 years;Female;High School Diploma;1;Humanities;3;Ukraine;1,5;1;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;1;5;1;7;1;1,2;Consume less, recycle, use eco-friendly products and transport;Idk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 22:11;26-30 years;Male;Master's Diploma;3;Natural sciences;4;Ukraine;I am not sure;0;Yes;All of them;No;0;Yes;1;7;1;3;6;1;7;1;0,9;Garbage sorting, talk in public about the process;unite in the organizations, public talks, special green progects;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 23:13;21-25 years;Male;Master's Diploma;3;Social sciences;3;Poland;1,5;1;No;All of them;No;0;Yes;1;7;1;7;1;0;1;0;0,55;nothing at the current technical level;free the market to accelerate technology development;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.21 23:20;21-25 years;Female;Bachelor's Diploma;2;Natural sciences;2;Ukraine;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;1;7;1;5;1;1,2;Stop buying what he doesn't really need, choose local products to reduce transportation pollution;Searching for alternative materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 9:24;26-30 years;Female;PhD Diploma;4;Applied sciences;3;France;2,5;0,75;Yes;All of them;Yes;1;Yes;1;7;1;1;7;1;7;1;1,1625;Reduce waste, energy consumption, make less children;boycott industries which do not reduce they CO2 production, adopt laws that strongly protect the envrionment...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 10:25;18-20 years;Female;High School Diploma;1;Natural sciences;2;France;3,5;0,5;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;6;6;1;7;1;1,125;be more mindful in understanding what are their use of energy & pollution;raise awareness and act on meaningful things;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 10:26;21-25 years;Female;High School Diploma;1;Humanities;4;Germany;2,5;0,75;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;3;5;1;4;0,5;1,0625;Spread information about climate change and demand from the government passing laws, that would control the activities of factories and e.x. thermal power plants.;Society can be active, be aware in problem, be persistent and can demand from the government actions. Yes, sure, we can reduce using or recycle some stuff ourselves but it doesn't work globally. The impact of rubbish is mush less that the one from thermal power plant or industrial factory.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 11:14;21-25 years;Female;Master's Diploma;3;Natural sciences;4;France;2,5;0,75;Yes;Carbon Dioxide, Methane, Water Vapor;Yes;1;Yes;1;7;1;2;6;1;5;1;1,1625;b;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 11:46;26-30 years;Female;Master's Diploma;3;Engineering;3;France;I am not sure;0;Yes;Methane;Yes;1;Yes;1;7;1;1;7;1;7;1;1,05;Boycott companies heavily contributing to polluting the planet;making and enforcing laws for individuals and industries to reduce the CO2 impact;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 12:10;26-30 years;Male;Master's Diploma;3;Applied sciences;3;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;2;7;1;7;1;1,2;Learn, spread awareness, campaign, improve lifestyle;Change economic model (e.g. doughnut economics);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 14:36;21-25 years;Male;Master's Diploma;3;Social sciences;3;Ukraine;2,5;0,75;Yes;I am not sure;Yes;1;Yes;1;7;1;2;7;1;5;1;1,1625;Idk;Idk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 14:42;Over 30 years;Male;Master's Diploma;3;Applied sciences;1;France;1,5;1;Yes;Carbon Dioxide, I am not sure;No;0;Yes;1;7;1;4;5;1;5;1;1,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 14:53;21-25 years;Female;Master's Diploma;3;Mechanical engineering;2;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;1;7;1;6;1;1,2;Shop locally, reduce their wastes, avoid taking the plane or the car if there are other means of transportation available, recycle, raise awareness;Put more pressure on governments and hopefully big industries so they understand they need to do something now (and not just greenwash);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 15:02;21-25 years;Male;Master's Diploma;3;Applied sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;5;5;1;3;0;0,9625;The reason why industries produce a lot is because individual buy and consume a lot. So, we need to consume less.;Also, we need to do less kids, to reduce overpopulation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 15:20;Over 30 years;Male;High School Diploma;1;Humanities;3;Ukraine;I am not sure;0;Yes;I am not sure;Yes;1;Yes;1;7;1;2;6;1;7;1;1,05;Stop killing environment nature;To group over scientists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 15:37;21-25 years;Female;Bachelor's Diploma;2;Applied sciences;3;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;5;7;1;7;1;1,2;Little actions can go a long way, but mostly an individual can act to impact companies choices;Act on the way its industry works;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 16:47;21-25 years;Female;Master's Diploma;3;Applied sciences;2;France;I am not sure;0;Yes;Carbon Dioxide, I am not sure;Yes;1;Yes;1;7;1;3;7;1;7;1;1,05;Become vegetarian, reduce consomption;Make laws to sanction polluting industries, to forbid polluting behaviours;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 16:47;Over 30 years;Male;Master's Diploma;3;Applied sciences;3;France;I am not sure;0;Yes;Water Vapor;Yes;1;Yes;1;7;1;1;7;1;6;1;1,05;Révolution;Change ! No Hope.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 16:58;21-25 years;Male;Master's Diploma;3;Applied sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;No;0;Yes;1;7;1;2;6;1;4;0,5;0,9125;Change of habits and vote for policies that will do things against climate change;I don't know...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 17:33;18-20 years;Female;High School Diploma;1;Applied sciences;1;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;2;6;1;6;1;1,2;Eat less meat, no car and no plane;Solar panel, wind electricity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 18:22;Under 18 years;Female;High School Diploma;1;Applied sciences;2;France;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;3;7;1;6;1;1,2;Change our point of vue toward capitalism;Change our political and economical system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 18:38;21-25 years;Male;Master's Diploma;3;Applied sciences;3;Sweden;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;7;1;6;1;1,2;Stop useless purchasing, switch diet, reduce or stop travelling, invest in better insulation...;Promote moer sustainable technologies be it for transport, production or energy. Stop the growth nonsense, change the people's way of acting and thinking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 18:49;21-25 years;Female;Bachelor's Diploma;2;Applied sciences;3;France;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;5;7;1;7;1;1,2;Consume less;Political actions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 18:52;26-30 years;Female;Master's Diploma;3;Applied sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;3;7;1;4;0,5;1,1;Consuming only what is needed, locally. Do not travel with plane. Make short traject by foot or bicycle.;Stop consuming mass consumption. And stop producing it.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 19:29;26-30 years;Male;Master's Diploma;3;Management;3;India;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;6;7;1;7;1;1,05;Judicious use of resources;Be more aware;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 19:57;21-25 years;Male;Master's Diploma;3;Applied sciences;2;France;I am not sure;0;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;5;5;1;7;1;1,05;Nothing if they're not the CEO of a big compagny or a politician;Governments should make strict laws on the amount of CO2 (and other gases) that companies can emit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 20:21;Over 30 years;Male;Master's Diploma;3;Applied sciences;1;France;2,5;0,75;Yes;I am not sure;No;0;Yes;1;7;1;1;6;1;4;0,5;0,9125;being reasonable in the way of leaving and consuming;being reasonable in the way of leaving and consuming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 21:28;21-25 years;Female;Master's Diploma;3;Applied sciences;3;France;2,5;0,75;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;4;6;1;7;1;1,0125;Recycle, use public transport, save electricity, heat and water, eat responsible food;Encourage people to recycle, use public transport, encourage industries to limit their pollution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.21 22:16;21-25 years;Female;Master's Diploma;3;Applied sciences;3;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;2;7;1;7;1;1,2;Become a vegetarian, reduce consumption (clothes, planes, food..);vote for laws to prevent climate change;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 7:45;21-25 years;Female;Master's Diploma;3;Applied sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;3;7;1;4;0,5;1,0625;An individual cannot reduce the process of climate change on its own. However, by drastically reducing plane using for holiday, following his energy consumption and stopping over-consuming in general, they can act as a little ant in the big issue of climate change.;Really act with industry and the economic activity to change the way of thinking and transform drastically activities which produce lots of greenhouse gases;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 8:48;21-25 years;Male;Master's Diploma;3;Applied sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;No;0;Yes;1;7;1;1;7;1;5;1;1,05;A lot of things. Vote and protest are the most important in my opinion;Economic decline;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 11:17;Over 30 years;Male;Master's Diploma;3;Applied sciences;2;France;I am not sure;0;I am not sure;All of them;No;0;Yes;1;7;1;4;4;0,5;3;0;0,55;Change way to consume;Implement new technologies reducing our fossil fuels dependency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 12:07;21-25 years;Female;High School Diploma;1;Applied sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;2;6;1;6;1;1,1625;Reduce his own emissions, eat less meat, not take the plane, buy local things;Put some laws, propose real alternatives to « consumption society », relocalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 12:51;18-20 years;Male;Master's Diploma;3;Natural sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;5;7;1;5;1;1,0125;Stop buying products from polluting companies, become vegetarian/vegan and by as much as possible local and seasonal products that don't travel accross the whole globe.;Stop voting for neo-liberal politicians who do not understand science.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 13:30;18-20 years;Male;High School Diploma;1;Applied sciences;4;France;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;5;5;1;3;0;1;Consume less, as local as possible, travel less,;Consume less, travel less, vote for eco-friendly leaders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 16:49;21-25 years;Male;Master's Diploma;3;Natural sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;2;5;1;7;1;1,0125;consume differently;change policies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 17:48;21-25 years;Male;Master's Diploma;3;Marketing;3;India;3,5;0,5;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;2;6;1;6;1;1,125;Reduce pollution;Create awareness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 17:53;26-30 years;Male;Master's Diploma;3;Marketing and analytics;2;India;I am not sure;0;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;3;7;1;6;1;1,05;Start change from self;Start from oneself;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 18:08;Over 30 years;Male;Master's Diploma;3;Commerce;3;India;1,5;1;Yes;Carbon Dioxide;No;0;Yes;1;7;1;4;5;1;5;1;1,05;Plantation and actrasion of solour energy;Use of public transport, plantation, reduction of plastic and garbage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 18:09;Over 30 years;Male;Master's Diploma;3;Applied sciences;2;India;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;1;7;1;7;1;1,2;Reduce-reuse-recycle plastic as much as possible. Reduce electricity consumption, reduce meat consumption, adopt vegetarianism if possible.;If majority of the society consciously decides to choose green products, it will force industry to produce such products and governments to enforce this upon the industry.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 18:22;Over 30 years;Male;Bachelor's Diploma;2;Computer Science;3;United States;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;5;1;5;1;1,2;Participate in saving environment as much possible ways;Plan trees , reduce vehicle usage, industrial waste and domestic waste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 18:42;21-25 years;Male;Master's Diploma;3;Mba;4;India;1,5;1;Yes;Carbon Dioxide;No;0;Yes;1;7;1;3;7;1;7;1;1,05;Usse renewable energy embrace sustainability;Same as weekly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 19:08;26-30 years;Male;Bachelor's Diploma;2;Applied sciences;3;India;I am not sure;0;Yes;All of them;Yes;1;Yes;1;7;1;3;7;1;5;1;1,05;Take small steps in day to day life to reduce all kinds of pollution;Awareness programs and literacy towards pollution and social issues;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 19:49;21-25 years;Male;Master's Diploma;3;Social sciences;3;France;2,5;0,75;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;1;7;1;7;1;1,1625;Be politically active;Pressure MNCs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 20:01;Over 30 years;Male;Master's Diploma;3;IT;3;United States;1,5;1;Yes;Carbon Dioxide, Methane, Water Vapor, All of them;Yes;1;Yes;1;7;1;5;7;1;7;1;1,2;Sort your home garbage;Identify small goals and work together;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 22:20;21-25 years;Male;High School Diploma;1;Social sciences;2;Poland;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;1;7;1;7;1;1,2;reduce consumption, avoid high carbon footprint products;gdp not as a main goal, energy transformation, meat and diary taxes, CBAM, higher taxes on some branches, idea of sharing not owning, use banks to create money flow in necessary directions etc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.21 23:18;18-20 years;Male;High School Diploma;1;Applied sciences;2;France;1,5;1;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;4;7;1;6;1;1,2;Recycle more, consume less, use more bike or public transports etc, buy local;Everyone should do what said upper but reduce the process needs HUGE decisions and changes at an international stage (reduce exchanges, produce localy, etc);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 3:20;26-30 years;Female;Master's Diploma;3;Applied sciences;3;India;2,5;0,75;Yes;Methane;Yes;1;Yes;1;7;1;6;3;0;5;1;0,8625;Change oneself. Green practices in daily life. Reuse, recycle.;Public commute, car pool, water recycle, plantation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 4:21;21-25 years;Male;Master's Diploma;3;Natural sciences;2;India;I am not sure;0;Yes;Carbon Dioxide, Methane;Yes;1;Yes;1;7;1;5;6;1;7;1;1,05;Reduce, reuse and recycle;Reduce, reuse and recycle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 4:30;Over 30 years;Female;Bachelor's Diploma;2;Applied sciences;2;India;1,5;1;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;4;7;1;6;1;1,2;Plant more trees. Become vegan. Use less plastic. Stop over consumption.;Plant more trees. Become vegan. Use less plastic. Stop over consumption. Ban industries causing pollution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 4:50;26-30 years;Male;Master's Diploma;3;Applied sciences;3;France;2,5;0,75;I am not sure;Carbon Dioxide, Methane, Water Vapor, All of them;No;0;Yes;1;7;1;7;5;1;5;1;1,0125;stop watching porn;become amish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 14:31;21-25 years;Female;High School Diploma;1;Social sciences;3;Ukraine;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;4;7;1;7;1;1,05;reduce my trash, choose products wisely thinking about their package;raise the issue, stimulate industries to create new approaches in production with the lowest pollution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 14:41;21-25 years;Female;Master's Diploma;3;Applied sciences;3;Ukraine;2,5;0,75;Yes;I am not sure;Yes;1;Yes;1;7;1;1;3;0;4;0,5;0,7625;a lot;a lot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.21 14:42;18-20 years;Female;High School Diploma;1;Social sciences;5;Ukraine;2,5;0,75;Yes;Water Vapor;Yes;1;Yes;1;7;1;5;6;1;2;0;0,9625;Become a zerowaster, consume less, reuse;Stop polluting Earth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
